NCT Number,Study Title,Study URL,Study Status,Brief Summary,Study Results,Conditions,Interventions,Sponsor,Collaborators,Study Type,Study Design,Start Date
NCT02390791,New Technologies to Help Manage ADHD,https://clinicaltrials.gov/study/NCT02390791,COMPLETED,Cluster randomized controlled trial to evaluate the general effectiveness of intervention compared to control on medication continuity as measured by prescriptions written and other more proximal outcomes during the first six months of treatment.,YES,Attention Deficit Hyperactivity Disorder,OTHER: enhanced myADHDportal.com|OTHER: treatment as usual standard portal,"Children's Hospital Medical Center, Cincinnati",National Institute of Mental Health (NIMH),INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (CARE_PROVIDER)|Primary Purpose: HEALTH_SERVICES_RESEARCH,2015-09
NCT04018794,Development of a Mobile App for an Executive Functioning Intervention for Adolescents,https://clinicaltrials.gov/study/NCT04018794,COMPLETED,This study develops an initial prototype of a mobile tool that will support clinician-directed behavioral/organizational skills treatment for adolescents with Attention Deficit Hyperactivity Disorder (ADHD) with input guided from key stakeholders.,YES,Attention Deficit Hyperactivity Disorder Symptoms,DEVICE: Behavioral/organizational skills intervention augmented with digital health application,"University of California, San Francisco",,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2019-09-30
NCT01673594,Prevention of Stimulant-Induced Euphoria With an Opioid Receptor Antagonist,https://clinicaltrials.gov/study/NCT01673594,COMPLETED,"The purpose of this study is to a) assess the efficacy of naltrexone in preventing stimulant-induced euphoria in adults with ADHD, b) assess whether naltrexone will interfere with the clinical efficacy of stimulants in treating adults with ADHD, c) assess whether naltrexone will interfere with the effects of stimulants on neurotransmitter activity. We predict that naltrexone will successfully prevent stimulant-induced euphoria without interfering with the ability of stimulants to effectively treat ADHD in adults. This study will be an 8 -week trial with young adults (18-24) with ADHD.",YES,ADHD|Stimulant-Induced Euphoria,DRUG: SODAS MPH|DRUG: Naltrexone,Massachusetts General Hospital,United States Department of Defense,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2012-09
NCT00228540,Study to Assess Satisfaction With Modafinil Treatment in Children and Adolescents With ADHD,https://clinicaltrials.gov/study/NCT00228540,COMPLETED,"An 8-week, Open-Label Study to Characterize the Response to Modafinil (85mg Film-Coated Tablet) Treatment at Dosages up to 425mg/Day in Children and Adolescents with Attention-Deficit/Hyperactivity Disorder (ADHD) (With an Open-Ended Extension Period)",NO,ADHD,DRUG: Modafinil,Cephalon,,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: FACTORIAL|Masking: NONE|Primary Purpose: TREATMENT,2005-09
NCT05301673,ADHD Remote Technology Study of Cardiometabolic Risk Factors and Medication Adherence,https://clinicaltrials.gov/study/NCT05301673,RECRUITING,"Attention-deficit/hyperactivity disorder (ADHD) is a common psychiatric disorder, with a prevalence among adults of 2.5%. The disorder is diagnosed based on impairing levels of inattentive, hyperactive and impulsive behaviours. Most adults with ADHD present with additional mental health problems. Adults with ADHD have an increased risk to develop so-called cardiometabolic illnesses, such as type-2 diabetes, obesity and cardiovascular disease (e.g., heart failure). However, detailed knowledge about the screening, diagnosis and management of adults with ADHD and co-occurring cardiometabolic illnesses is lacking. The purpose of ART-CARMA is to (1) obtain real-world data from adults with ADHD daily life on the extent to which ADHD medication treatment and physical activity, individually and jointly, may influence cardiometabolic risks in adults with ADHD, and (2) obtain real-world data of patterns of taking ADHD medication and reasons for not taking medication, over a remote monitoring period of 12 months.

ART-CARMA benefits from the ADHD Remote Technology ('ART') assessment and monitoring system for adults with ADHD (developed by Kuntsi, Dobson, et al.), and the RADAR-base mobile-health platform to which it is linked (developed by Dobson et al; http://www.radar-base.org). ART consists of both active (e.g., questionnaires) and passive (smartphone and a wearable device) monitoring. ART-CARMA will use remote measurement technology (RMT) in adults with ADHD to carry out unobtrusive, real-time data collection over a continuous period of 12 months. By recruiting 300 adults from adult ADHD clinic waiting lists (and a partner/family member/close friend for each of them) and monitoring them remotely, we will obtain objectively measured data relevant to cardiometabolic risk profiles from their daily lives. By targeting the period before starting any ADHD medication through to starting treatment and the subsequent period, up to 12 months in total, we obtain real-time data on multiple parameters, including side effects, that can inform the personalisation of treatment.",NO,Attention Deficit Hyperactivity Disorder|Cardiovascular Diseases|Medication Adherence,,King's College London,"South London and Maudsley NHS Foundation Trust|Barnet, Enfield and Haringey Mental Health NHS Trust|Hospital Universitari Vall d'Hebron Research Institute|Empatica, Inc.|Örebro University, Sweden|Concentris research management gmbh|Attention Deficit Disorder Information and Support Service|The European Association for the Study of Obesity|Cumbria, Northumberland Tyne and Wear NHS Foundation Trust|Tees, Esk and Wear Valleys NHS Foundation Trust|South West London and St George's Mental Health NHS Trust|East London NHS Foundation Trust|Avon and Wiltshire Mental Health Partnership NHS Trust",OBSERVATIONAL,Observational Model: |Time Perspective: p,2022-07-12
NCT00946582,The Therapeutic Effects of Barkley's Parenting Management Program for Taiwanese School-Aged Children With Attention Deficit/Hyperactivity Disorder (ADHD),https://clinicaltrials.gov/study/NCT00946582,UNKNOWN,The purpose of this study is to explore the therapeutic effects of Barkley's parenting management program for Taiwanese school-aged children with ADHD. The investigators hypothesized that Barkley's parenting management program might empower the parents' competence to manage their school-aged children's ADHD-related disturbing behaviors as its previously-proven effects for parents and their preschool-aged children with ADHD.,NO,Attention Deficit/Hyperactivity Disorder,BEHAVIORAL: Barkley's parenting management program,National Taiwan University Hospital,,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2009-06
NCT04112082,Efficacy of Mobile Neurofeedback for Adult Attention-Deficit/Hyperactivity Disorder (ADHD),https://clinicaltrials.gov/study/NCT04112082,UNKNOWN,"This study is an assessor-blind, parallel-group, controlled trial to evaluate the benefit of home-based training with a low-cost, mobile neurofeedback system (Myndlift) in adults with ADHD. Randomized controlled trials have shown significant benefit for neurofeedback, including persistent effects without the side effects of psychostimulants (i.e., diminished appetite, insomnia, anxiety, irritability). However, standard application requires clinic visits and significant expense, limiting training frequency and compromising potential efficacy. Additionally, extant evidence for efficacy comes almost exclusively from children and adolescents, with very few studies in adults. The present trial will measure the ability of home-based neurofeedback using a low-cost, user-friendly system to ameliorate symptomatology (e.g., enhancing attention, reducing impulsive behavior) in adults with ADHD. Participants will receive either neurofeedback or treatment as usual (TAU). Primary outcomes will be objective scores on a continuous performance task (CPT) and subjective report on a standardized adult ADHD symptoms questionnaire. Eligible participants recruited from an adult ADHD clinic will complete a baseline assessment (1.25 hours) including subjective questionnaires, computerized cognitive assessment, and resting-state EEG administered by a blinded assessor. The experimental group will train at home with a neurofeedback headset and tablet 4 times/week for ten weeks (session duration: 21-30 minutes). Neurofeedback will be provided via a conventional theta beta protocol in which participants train using gamified tasks, videos, or audio clips in a tablet-based app, and receive positive visual/auditory feedback when their brainwaves are in the desired range. The control group will follow the regular treatment plan set by the clinic (i.e., treatment as usual; TAU). Care may include pharmacological intervention, cognitive behavioral therapy (CBT), a combination of both, or no intervention. Care will often include pharmacological intervention (e.g., methylphenidate), with the specifics (e.g., type of medication, dosage) determined by psychiatrist recommendation. After completing the ten-week intervention period, all participants will return to the clinic for a follow-up assessment identical to the baseline assessment. It is hypothesized that home-based neurofeedback training will demonstrate non-inferiority to TAU as measured by improvement in subjective and objective symptoms.",NO,Attention Deficit Hyperactivity Disorder,BEHAVIORAL: Mobile Neurofeedback|OTHER: Treatment as Usual,Sheba Medical Center,Myndlift Ltd.,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2019-12-22
NCT06063382,Extra Time on Brazilian College Level Exam for Students With and Without ADHD,https://clinicaltrials.gov/study/NCT06063382,RECRUITING,"Standardized tests such as the Scholastic Aptitude Test (SAT) and the brazilian National High School Exam (ENEM) give more time for students with Attention Deficit and Hyperactivity Disorders (ADHD) to complete the exam. The goal of this study is to find out if giving students with ADHD more time on tests actually helps them. Additionally, the research aims to find out if more time helps students without ADHD too or not, or even if it only helps students with certain traits.",NO,Attention Deficit Disorder With Hyperactivity,BEHAVIORAL: Exam,Hospital de Clinicas de Porto Alegre,,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: OTHER,2023-08-30
NCT05713331,Web-based Professional Development for SMHPs in Evidence-Based Practices for Attention and Behavior Challenges,https://clinicaltrials.gov/study/NCT05713331,TERMINATED,"This study develops a web-based PD (CLS-R) to provide SSWs with remote training in EBPs for attention and behavior problems. CLS-R is designed to be usable, feasible, portable, accessible, and acceptable - ingredients which have been identified as necessary for the sustainability of school-based programs. The study evaluates the usability, feasibility, acceptability, fidelity of implementation, and preliminary effects on student outcomes.",NO,ADHD,BEHAVIORAL: CLS-R,"University of California, San Francisco",Institute of Education Sciences,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2017-09-01
NCT01500694,Access to Extended Release Guanfacine HCl for Subjects Who Participated in Studies SPD503-315 or SPD503-316 in Europe,https://clinicaltrials.gov/study/NCT01500694,COMPLETED,For subjects in Europe that have already participated in either Study SPD503-315 or SPD503-316. This is an extension study that will allow participants access to Extended-release Guanfacine Hydrochloride (HCl) for up to 2 years. This study will help the sponsor evaluate long-term safety and tolerability of Extended-release Guanfacine HCl (SPD503).,YES,Attention Deficit Hyperactivity Disorder (ADHD),"DRUG: Extended-release Guanfacine HCl (Intuniv, SPD503)",Shire,,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2012-03-20
NCT00770627,Clinical Trial to Evaluate the Efficacy and the Tolerance of an Omega 3 Fatty Acids Supplementation in ADHD Children,https://clinicaltrials.gov/study/NCT00770627,UNKNOWN,"Principal focus is to evaluate the effects of omega 3 fatty acids supplementation on the ADHD children's behaviour during 12 weeks on two years. The secondary focus is to evaluate the effects of omega 3 fatty acids supplementation on the lexical level,intentional abilities, anxiety and depression.

The omega 3 fatty acids don't present adverse side effects. The inclusion to the trial could avoid the intake the methylphenidate and its associated adverse side effects.",NO,Attention Deficit Hyperactivity Disorder,DIETARY_SUPPLEMENT: Omega 3 caps,Laboratoires URGO,,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2008-10
NCT05202327,PDC-1421 Treatment in Adult Patients With ADHD,https://clinicaltrials.gov/study/NCT05202327,SUSPENDED,"Part II is a double-blind, randomized, parallel-group, placebo-controlled study. The primary objective of this trial is to determine the effective doses and treatment period of PDC-1421 Capsule in subjects with ADHD. The secondary objective is to evaluate the safety of PDC-1421 Capsule in subjects receiving PDC-1421 at various dose levels.",NO,Attention-Deficit Hyperactivity Disorder (ADHD),DRUG: PDC-1421 Capsule|DRUG: Placebo,"BioLite, Inc.","ABVC BioPharma, Inc",INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2022-04-07
NCT01399827,Omega-3 Fatty Acid Supplementation to ADHD Pharmacotherapy in ADHD Adults With Deficient Emotional Self-Regulation Traits,https://clinicaltrials.gov/study/NCT01399827,COMPLETED,"The purpose of this study is to a) assess the efficacy of omega-3 fatty acids in the treatment of Deficient Emotional Self-Regulation (DESR) among stimulant treated Attention Deficit Hyperactivity Disorder (ADHD) adults, b) assess the side effect profile of omega-3 fatty acids in the treatment of DESR among stimulant treated ADHD adults, c) assess effects of omega-3 fatty acid supplementation on ADHD symptoms and associated features in stimulant treated ADHD adults, and d) predict value of fatty acids present in red blood cell membranes. This study will be a 12-week trial with adults 18-55 years of age with ADHD and symptoms of DESR.",YES,Attention Deficit Hyperactivity Disorder (ADHD)|Deficient Emotional Self-Regulation (DESR),DRUG: ADHD Medication|DRUG: Omega-3 Fatty Acids,Massachusetts General Hospital,,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2012-02
NCT01971827,Effectiveness of a Physical Activity Intervention to Prevent Obesity and Improve Academic Performance,https://clinicaltrials.gov/study/NCT01971827,UNKNOWN,Coordinated project whose objectives are: a) to test the effectiveness of a promotion of physical activity intervention (MOVI-KIDS) on preventing obesity; and b) to improve the academic performance in both children with and without attention deficit hyperactivity disorder (ADHD),NO,Physical Activity|Obesity|Children|Academic Underachievement Disorder|Attention Deficit Hyperactivity Disorder,BEHAVIORAL: MOVI-KIDS,University of Castilla-La Mancha,Carlos III Health Institute,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: PREVENTION,2013-09
NCT03368573,QbTest Utility for Optimising Treatment in ADHD (QUOTA),https://clinicaltrials.gov/study/NCT03368573,COMPLETED,"Attention Deficit/Hyperactivity Disorder (ADHD) is a condition that affects 3-5% of young people under 18-years-old.

Young people with ADHD have difficulties with attention, impulsivity and hyperactivity that make it harder for them to learn, form relationships and prepare for adulthood. Clinical guidelines state that young people taking medication for ADHD should be closely monitored and have their medication reviewed regularly to ensure they receive the correct dose to improve their symptoms. However, many young people aren't monitored as closely as guidelines recommend. This can lead to lack of improvement or worsening of symptoms meaning that children may not experience the benefits of medication as quickly as they should. At the moment, assessing whether or not medication is working relies on the opinions of teachers and parents, collected through questionnaires. The difficulties of this are: differences of opinion between people, lack of information provided by them, and not returning the questionnaires. A test performed on a computer (QbTest) provides doctors with a report of the young person's symptoms and can therefore show whether medication is working. This may help doctors reach accurate decisions about medication dose more quickly, reducing the need for questionnaires. The study team met with families and young people with ADHD and medical experts and developed a procedure for using QbTest to measure medication effects. The study team will measure how well this procedure works in the real world by asking a group of young people to complete the test when they first start taking medication and at their follow-up appointments. The study team will ask doctors and families/young people for their opinions on the procedure.

The study team shall share our findings with other researchers and with the public by attending local support groups and providing summaries of the study results. The findings will be used to prepare for a future study.",NO,ADHD,DEVICE: QbTest,Nottinghamshire Healthcare NHS Trust,,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2017-12-01
NCT00586573,Open-Label Pilot Study of Namenda in Adult Subjects With ADHD and ADHD NOS,https://clinicaltrials.gov/study/NCT00586573,COMPLETED,The primary objective of the study is to assess the efficacy and tolerability of a 12-week trial of memantine hydrochloride administered twice daily in 20 adults (ages 18-55) with ADHD and ADHD NOS. Improvement will be defined as: 1) changes from baseline on the investigator-rated DSM-IV based ADHD Rating Scale; 2) changes from baseline in a questionnaire aimed at assessing executive functions (BRIEF); and 3) changes from screening in a computerized neuropsychological battery (CANTAB). We hypothesize that memantine hydrochloride will be associated with improving ADHD symptoms and associated deficits in executive functions. We also expect that memantine will be well-tolerated with predictable adverse events.,YES,ADHD,DRUG: memantine hydrochloride,Massachusetts General Hospital,,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2007-03
NCT01267773,Treatment of Conduct Problems and Depression,https://clinicaltrials.gov/study/NCT01267773,UNKNOWN,"Having both depression and conduct problems at the same time has been found to be associated with increased risk for the other and increased risk of negative outcomes. This study will develop an family based cognitive behavioral treatment protocol for youths with both conduct problems and depression, that will take be administered over the course of six months. Youth with comorbid conduct problems and depression will be assigned to the experimental condition or treatment as usual in a community care setting. The treatment manual will be revised as needed. Youth will be assessed before and after treatment to examine program potential. The goal of this research is to develop a more comprehensive outpatient treatment for youth with both conduct problems and depression.",NO,Depression|Oppositional Defiant Disorder|Conduct Disorder,BEHAVIORAL: Integrated Treatment,Rhode Island Hospital,Brown University,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2010-08
NCT00466791,Classroom Study to Assess Efficacy and Safety of MTS in Pediatric Patients Aged 6-12 With ADHD,https://clinicaltrials.gov/study/NCT00466791,COMPLETED,Evaluate the behavioral effects of MTS in children aged 6-12 with ADHD,NO,Attention Deficit Disorder With Hyperactivity,DRUG: Methylphenidate Transdermal System,Noven Therapeutics,,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)|Primary Purpose: TREATMENT",2004-08
NCT03781752,Carboxylesterase 1 Genetic Variation and Methylphenidate in ADHD,https://clinicaltrials.gov/study/NCT03781752,ENROLLING_BY_INVITATION,"The study team will determine the association between d,l-methylphenidate (MPH) therapeutic outcomes in ADHD patients and genetic variants of CES1 and reveal key associations between CES1 genotypes and the PK and PD of MPH.",NO,ADHD|Attention Deficit Hyperactivity Disorder,DRUG: Methylphenidate,Icahn School of Medicine at Mount Sinai,"Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)|University of Florida|Children's Hospital Medical Center, Cincinnati|Seattle Children's Hospital",INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: BASIC_SCIENCE,2018-03-04
NCT03231800,A Study to Evaluate the Efficacy and Safety of Dasotraline in Children 6 to 12 Years Old With Attention-Deficit Hyperactivity Disorder (ADHD) in a Simulated Classroom Setting.,https://clinicaltrials.gov/study/NCT03231800,COMPLETED,A study to evaluate the efficacy and safety of dasotraline in children 6 to 12 years of age with Attention-Deficit Hyperactivity Disorder (ADHD) in a simulated classroom setting.,YES,Attention-Deficit Hyperactivity Disorder (ADHD),DRUG: dasotraline|DRUG: Placebo,"Sumitomo Pharma America, Inc.",,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2017-07-31
NCT03546400,"Safety, Tolerability and PK Study of Methylphenidate HCl ERCT in 4-5 Year Old Children With ADHD.",https://clinicaltrials.gov/study/NCT03546400,WITHDRAWN,"2-week open-label safety, tolerability and pharmacokinetic study of methylphenidate HCl ERCT in 4-5 year old children with ADHD.",NO,Attention Deficit Hyperactivity Disorder (ADHD),DRUG: methylphenidate HCl ERCT,Pfizer,,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2018-09-25
NCT00830700,Children's Attention Deficit Disorder With Hyperactivity (ADHD) Telemental Health Treatment Study,https://clinicaltrials.gov/study/NCT00830700,COMPLETED,"While telemental health (TMH) programs are increasing nationally to address the inequity of access to psychiatric services, there are few reports of their efficacy, particularly with children. The current proposal will complete the second stage of our program development. In the first stage, we established the feasibility of a TMH service and its acceptability to families and PCPs. In the second stage of program development we will conduct a randomized clinical trial (RCT) that will determine whether it is possible to use technological advances to: 1) improve clinical outcomes for children with ADHD over outcomes achieved in usual PC; and 2) adhere to an EBT protocol implemented through TMH. Future studies will examine whether other types of complicated psychiatric disorders and EBTs are amenable to delivery via TMH.

The overall goal of this study is to determine whether an evidence-based model of care can be faithfully implemented when delivered using TMH to children with ADHD living in rural areas and can improve outcomes over treatment as usual (TAU) in PC. ADHD is an excellent focus for assessment of TMH, as PCPs encounter this disorder frequently, EBT guidelines are available, pharmacotherapy is the core treatment and is easily delivered in PC through videoconferencing, and stabilization may be readily achieved for most youth.",NO,Attention Deficit Disorder With Hyperactivity,OTHER: CATMH intervention,Seattle Children's Hospital,University of Washington,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: HEALTH_SERVICES_RESEARCH,2009-09
NCT06115200,Norwegian Adult Mental Health Registry,https://clinicaltrials.gov/study/NCT06115200,NOT_YET_RECRUITING,"""The Norwegian Adult Mental Health Registry"" (NAMHR) is a medical quality register collecting and systematizing data on patients and their treatment in specialist mental health care for adults in Norway. The main purpose is to create a documentation basis for quality assurance, evaluation, and improvement of assessment and treatment for patients who are offered treatment for mental disorders in the specialist health service. The register uses automatic data capture from various existing data sources. New patients are automatically included, but given the opportunity for reservations from the register without affecting their services and treatment.",NO,Depression|Schizophrenia|Bipolar Disorder|Eating Disorders|Anxiety Disorders|Ptsd|Personality Disorders|Adhd,,Helse Stavanger HF,,OBSERVATIONAL,Observational Model: |Time Perspective: p,2024-01-01
NCT00326300,A Long-Term Safety Study to Evaluate Methylphenidate HCL Tablets at Multiple Dose Levels in Adults With Attention Deficit Hyperactivity Disorder,https://clinicaltrials.gov/study/NCT00326300,COMPLETED,The purpose of this study is to evaluate the long-term safety of methylphenidate HCL extended-release tablets at five dose levels in adults with Attention Deficit Hyperactivity Disorder (ADHD),NO,Attention Deficit Hyperactivity Disorder,DRUG: methylphenidate hydrochloride extended-release tablets,"McNeil Consumer & Specialty Pharmaceuticals, a Division of McNeil-PPC, Inc.",,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2006-04
NCT00190879,Placebo-Controlled Study of Atomoxetine Hydrochloride in the Treatment of Adults With ADHD and Comorbid Social Anxiety Disorder,https://clinicaltrials.gov/study/NCT00190879,COMPLETED,To investigate the effect of atomoxetine hydrochloride in treating adults who have attention deficit hyperactivity disorder with comorbid social anxiety disorder,NO,Attention Deficit Hyperactivity Disorder|Comorbid Social Anxiety Disorder,DRUG: Atomoxetine hydrochloride|DRUG: placebo,Eli Lilly and Company,,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE|Primary Purpose: TREATMENT,2005-06
NCT03190902,Cognitive Impairment in Pediatric Onset Multiple Sclerosis,https://clinicaltrials.gov/study/NCT03190902,COMPLETED,"Computer-assisted rehabilitation of attention deficits in pediatric Multiple Sclerosis and ADHD patients recruited during the study ""Cognitive impairment in Pediatric Onset Multiple Sclerosis: research of biomarkers predictive of cognitive impairment progression"".",NO,Pediatric Onset Multiple Sclerosis|ADHD Predominantly Inattentive Type,BEHAVIORAL: Attention Processing Training program (APT)|BEHAVIORAL: nonspecific computer training (n-ST),Pietro Iaffaldano,,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2015-09-15
NCT06226584,Multi-strain Probiotics for ADHD,https://clinicaltrials.gov/study/NCT06226584,RECRUITING,"Probiotics are widely used as supplement for various neurodevelopmental disorders. The mechanism of their therapeutic potential lies in the ""gut-brain axis"", a two-way communication pathway through the neuroendocrine system. In the past, there have been many experiments to study the possible efficacy of probiotics in patients with ADHD. Although some studies have shown that probiotics can improve ADHD symptoms, most studies have used behavioral rating scales to evaluate. As a result, it is susceptible to informant bias. Standardized attentional tests and quantitative electroencephalogram (qEEG) can provide more objective data and detect possible changes in brain networks. Such changes may precede behavioral phenotypes. Therefore, the purpose of this study is mainly to detect the therapeutic effect of multiple strains of probiotics in patients with attention deficit hyperactivity disorder by using standardized attention tests and quantified brain waves (qEEG).",NO,Attention Deficit and Hyperactivity Disorders,DIETARY_SUPPLEMENT: multiple-strain probiotics,Tsyr-Huey Mental Hospital,,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2024-01-03
NCT00190684,"Long-Term, Open Label Atomoxetine Study",https://clinicaltrials.gov/study/NCT00190684,COMPLETED,"To learn about the safety and any side effects of atomoxetine when given to children and adolescents for about 5 years (long-term) and to learn whether atomoxetine can help children and adolescents with attention-deficit/hyperactivity disorder (ADHD) who take the drug for about 5 years (long-term).

Study participants can be atomoxetine naive, atomoxetine experienced whose therapy has been interrupted or, atomoxetine experienced on a known stable dose.",YES,Attention Deficit Hyperactivity Disorder,DRUG: atomoxetine,Eli Lilly and Company,,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2000-08
NCT01855984,Tocotrienols for School-going Children With ADHD,https://clinicaltrials.gov/study/NCT01855984,COMPLETED,The purpose of this study is to determine if tocotrienol supplementation given to school going children with ADHD will result in reduction of their ADHD symptoms.,NO,Attention Deficit Disorder With Hyperactivity,DIETARY_SUPPLEMENT: Oral mixed tocotrienols|DIETARY_SUPPLEMENT: Placebo,RCSI & UCD Malaysia Campus,"Penang Hospital, Malaysia",INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2012-02
NCT01547702,Classroom-based Distance Intervention for Teachers of Children With Attention Deficit Hyperactivity Disorder,https://clinicaltrials.gov/study/NCT01547702,COMPLETED,"The purpose of this study is to evaluate, by way of randomized controlled trial, the effectiveness of a web-based, time-flexible, and teacher-directed ""Teacher Help for ADHD"" program in reducing the impact of ADHD symptoms in elementary students.",NO,Attention Deficit Hyperactivity Disorder (ADHD),BEHAVIORAL: Teacher Help for ADHD,Dalhousie University,,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2012-02
NCT03283579,Fatty Acids and Attention Deficit and Hyperactivity Disorder Symptoms,https://clinicaltrials.gov/study/NCT03283579,COMPLETED,"This study aimed to evaluate the longitudinal association between n-6:n-3 LCPUFAs ratio in cord blood and child ADHD symptoms at 4 and 7 years old. This study was based on the INMA project, a population-based birth cohort in Spain. Higher cord blood n-6:n-3 ratio was associated with higher subclinical ADHD symptoms during early and mid-childhood.",NO,Child Behavior Problem|Attention Deficit Hyperactivity Disorder|Fatty Acid Deficiency,,Barcelona Institute for Global Health,,OBSERVATIONAL,Observational Model: |Time Perspective: p,2003-11
